No,순번,시도,시군구,은행명,지점명,연락처,주소,경도,위도,상태
37,37,경남,창원시,경남은행,명곡,055-288-2151,경남 창원시 의창구 원이대로 265,128.649340305451,35.2435352841936,정좌표
38,38,서울,영등포구,경남은행,여의도,02-785-1271,"서울 영등포구 여의대방로65길 20, 3층",126.929510223547,37.5202205116005,정좌표
39,39,경남,창원시,경남은행,가음정,055-285-7231,경남 창원시 성산구 대정로 36,128.698922192545,35.207535034071,정좌표
40,40,경남,창원시,경남은행,남마산,055-245-5111,"경남 창원시 마산합포구 해안대로 7, 201호",128.559752793151,35.1807904395297,정좌표
41,41,경남,창녕군,경남은행,창녕,055-532-0750,"경남 창녕군 창녕읍 군청길 18, 1층",128.492061185592,35.5425324182301,정좌표
42,42,경남,창원시,경남은행,소계동,055-292-0362,경남 창원시 의창구 소계로84번길 3,128.599735326261,35.257063420557,정좌표
43,43,경남,창원시,경남은행,월영마을,055-248-8838,"경남 창원시 마산합포구 월영남로 42, 제상가동 101호",128.558562487755,35.1748577917728,정좌표
44,44,경남,남해군,경남은행,남해,055-864-6895,경남 남해군 남해읍 화전로 116,127.894058203855,34.8416678321206,정좌표
45,45,울산,울주군,경남은행,언양,052-262-0205,울산 울주군 언양읍 동문길 58,129.12468105745,35.5660273902474,정좌표
46,46,울산,남구,경남은행,문수로,052-269-2840,"울산 남구 문수로 403, 101호",129.297620350595,35.5341399258605,정좌표
47,47,경남,김해시,경남은행,김해영업부,055-332-5503,"경남 김해시 김해대로 2341, 1층",128.882920983477,35.2267251141323,정좌표
48,48,경남,사천시,경남은행,사천,055-853-4451,"경남 사천시 사천읍 역사길 11-22, 경남은행",128.084903337932,35.0805154027879,정좌표
49,49,경남,거제시,경남은행,거제,055-635-5592,"경남 거제시 거제중앙로 1895, 거제지점",128.623370172112,34.8873255720309,정좌표
50,50,경남,진주시,경남은행,평거동,055-748-4314,"경남 진주시 진양호로 284, 1층",128.064557534107,35.1786367146023,정좌표
51,51,경남,창원시,경남은행,경남대,055-245-9572,경남 창원시 마산합포구 경남대학로 7,128.55184150347,35.181124317195,정좌표
52,52,경남,함안군,경남은행,함안,055-583-5541,"경남 함안군 가야읍 말산로 15, 1층",128.408488379344,35.2733251445146,정좌표
53,53,서울,강남구,경남은행,강남,02-561-5500,"서울 강남구 영동대로 421, 2층",127.063532661507,37.5070021429923,정좌표
54,54,경남,창원시,경남은행,봉암동,055-297-5721,경남 창원시 마산회원구 양덕로 7-1,128.592852852361,35.2217527536496,정좌표
55,55,부산,사상구,경남은행,사상,051-312-7205,부산 사상구 광장로 40,128.980794257423,35.1621026549924,정좌표
56,56,경남,창원시,경남은행,창원중앙,055-267-1711,"경남 창원시 의창구 원이대로 581, 1층 한국노총 경남본부",128.679015586662,35.2286814777695,정좌표
57,57,경남,창원시,경남은행,도계동,055-277-9357,경남 창원시 의창구 태복산로15번길 42,128.637950051427,35.2563313559755,정좌표
58,58,울산,남구,경남은행,옥동,052-275-5067,"울산 남구 문수로 339, 1층",129.29066776073,35.5353127701675,정좌표
59,59,울산,남구,경남은행,굴화,052-277-7481,"울산 남구 울밀로 2906, 101호",129.264894464197,35.5546011684752,정좌표
60,60,경남,창원시,경남은행,중리,055-232-3300,경남 창원시 마산회원구 내서읍 호원로 317,128.523150369788,35.2617859631809,정좌표
61,61,경남,창원시,경남은행,창원시청,055-275-7181,"경남 창원시 의창구 중앙대로 151,  창원시청, 경남은행 지점",128.681868352191,35.2279176418354,정좌표
62,62,부산,동래구,경남은행,동래,051-557-5971,"부산 동래구 중앙대로 1325, 201호, 이센터워",129.077530095268,35.2053101168834,정좌표
63,63,울산,남구,경남은행,월평,052-265-7415,울산 남구 봉월로 161,129.307124193622,35.5467768519219,정좌표
64,64,경남,창원시,경남은행,팔용동,055-252-1513,"경남 창원시 의창구 평산로 96, 101호, 1층",128.619682081831,35.2516351389807,정좌표
65,65,경남,창원시,경남은행,창동,055-246-7151,경남 창원시 마산합포구 남성로 119,128.575504686271,35.2052094164697,정좌표
66,66,경남,창원시,경남은행,대방동,055-266-5418,경상남도 창원시 성산구 대정로 135,128.707296068755,35.2122711110223,정좌표
67,67,경남,김해시,경남은행,어방동,055-321-0131,경남 김해시 분성로 524,128.903210028355,35.2353207771545,정좌표
68,68,울산,남구,경남은행,신복,052-247-9453,울산 남구 대학로 144,129.262537379927,35.5474009389495,정좌표
69,69,울산,남구,경남은행,삼산동,052-261-2151,울산 남구 화합로 124,129.340795621624,35.5358615994228,정좌표
70,70,경남,창원시,경남은행,봉곡동,055-237-9821,경남 창원시 의창구 창이대로309번길 9,128.670791838864,35.2469261226386,정좌표
71,71,경남,창원시,경남은행,사파동,055-262-5021,"경남 창원시 성산구 창이대로 737, 2층, 동성상가",128.704146866301,35.2196002084805,정좌표
72,72,경남,창원시,경남은행,소답동,055-255-6136,경남 창원시 의창구 의안로17번길 2,128.623658899077,35.2634211265468,정좌표
73,73,경남,합천군,경남은행,합천,055-932-9784,경남 합천군 합천읍 충효로 70,128.16125669466,35.5665061723206,정좌표
74,74,울산,중구,경남은행,태화동,052-245-6984,울산 중구 태화로 175,129.295045581366,35.5526604958285,정좌표
75,75,울산,남구,경남은행,수암,052-267-3314,울산 남구 수암로 130,129.321292408601,35.5274142748365,정좌표
76,76,경남,창원시,경남은행,석동,055-544-2692,"경남 창원시 진해구 진해대로 752, 경남은행",128.697423163392,35.1588180245233,정좌표
77,77,울산,북구,경남은행,호계,052-286-1063,울산 북구 호계로 299,129.350899028393,35.6299715897988,정좌표
78,78,울산,동구,경남은행,대송,052-236-1781,울산 동구 대학길 30,129.419561752223,35.4982960550318,정좌표
79,79,경남,김해시,경남은행,내외동,055-322-3311,"경남 김해시 내외중앙로 75, 2층",128.866754848374,35.2368007282522,정좌표
80,80,경남,김해시,경남은행,진영,055-343-5551,"경남 김해시 진영읍 본산로 15-17, 1층 경남은행 진영지점",128.736588132148,35.3066831670108,정좌표
81,81,울산,남구,경남은행,울산중앙,052-260-2042,울산 남구 돋질로 281,129.335460738598,35.5445907826144,정좌표
82,82,경남,창원시,경남은행,토월,055-267-1888,경상남도 창원시 성산구 동산로 122 111호,128.690592249882,35.2186308529034,정좌표
83,83,경남,창원시,경남은행,진동,055-271-6413,경남 창원시 마산합포구 진동면 삼진의거대로 623,128.485965806221,35.1153151335347,정좌표
84,84,경남,창원시,경남은행,창원대산,055-252-8822,경남 창원시 의창구 대산면 진산대로355번길 14-16,128.70848772142,35.3326175502012,정좌표
85,85,경남,김해시,경남은행,장유,055-313-3401,"경남 김해시 능동로 159, 1층 장유지점 메드피아빌딩",128.808571037318,35.2029125312076,정좌표
86,86,경남,창원시,경남은행,상남동,055-281-8940,"경남 창원시 성산구 상남로 60, 102호",128.679591767178,35.2193314722959,정좌표
87,87,경남,의령군,경남은행,의령,055-573-1235,경남 의령군 의령읍 의병로24길 4,128.264101520605,35.3197664201644,정좌표
88,88,울산,남구,경남은행,울산시청,052-265-3871,"울산 남구 중앙로 201,  울산광역시청, 내 경남은행",129.312314615887,35.5387677568848,정좌표
89,89,경남,창원시,경남은행,경남도청,055-264-3512,"경남 창원시 의창구 중앙대로 300,  경상남도청",128.692387531258,35.2381766979204,정좌표
90,90,경남,창원시,경남은행,용지로,055-287-4484,경남 창원시 의창구 용지로 226,128.686025556052,35.2338244951206,정좌표
92,92,경남,창원시,경남은행,서상,055-252-8444,"경남 창원시 의창구 남산로 21, 1층",128.612598129054,35.2592934475673,정좌표
93,93,울산,남구,경남은행,달동,052-258-4800,울산 남구 번영로 115,129.328336012721,35.5355858325683,정좌표
94,94,울산,남구,경남은행,무거동,052-249-8301,울산 남구 대학로147번길 41-42,129.258744742001,35.5520382330239,정좌표
95,95,울산,북구,경남은행,화봉동,052-288-3703,울산 북구 화봉로 67,129.366256493624,35.5886014826118,정좌표
96,96,경남,김해시,경남은행,지내동,055-326-0532,경남 김해시 김해대로 2669,128.918416180606,35.2293269074664,정좌표
97,97,경남,창원시,경남은행,구암동,055-299-3142,경남 창원시 마산회원구 구암남11길 28,128.600800911652,35.2502079504469,정좌표
98,98,경남,창원시,경남은행,내서,055-232-8630,"경남 창원시 마산회원구 내서읍 삼계로 5, 1층",128.504326528938,35.231761672181,정좌표
99,99,울산,북구,경남은행,중소지원센터,052-289-9700,"울산 북구 산업로 915, 1층",129.360115372374,35.5712782426418,정좌표
100,100,경남,양산시,경남은행,서창,055-366-7600,경남 양산시 삼호1길 55,129.168381422397,35.4150695872669,정좌표
101,101,경남,창원시,경남은행,용원,055-552-6492,"경남 창원시 진해구 용원서로 44, 1층",128.813574552975,35.101486856575,정좌표
102,102,경남,거제시,경남은행,대우조선,055-682-5265,경남 거제시 거제대로 3370,128.70850041064,34.8654387983034,정좌표
103,103,경남,창원시,경남은행,신대방,055-264-7250,경남 창원시 성산구 가양로124번길 7,128.707194929875,35.2085934074019,정좌표
104,104,경남,창원시,경남은행,차룡,055-801-1971,"경상남도 창원시 의창구 팔용동 23-7 1층 125, 126, 127호",128.613773364892,35.2468890476541,정좌표
105,105,부산,강서구,경남은행,녹산,051-831-3251,부산 강서구 녹산산단335로 5,128.853907825282,35.0893893388424,정좌표
106,106,부산,해운대구,경남은행,해운대,051-743-7131,"부산 해운대구 해운대해변로 154, 1층, 마리나센터",129.148526639443,35.1581135876554,정좌표
107,107,경남,창원시,경남은행,창원컨벤션센터,055-212-1190,"경남 창원시 의창구 원이대로 362, 1층",128.657701717014,35.238630692667,정좌표
108,108,경남,김해시,경남은행,대청,055-314-1910,"경남 김해시 번화1로 70, 101호",128.800159946466,35.1937298232367,정좌표
109,109,울산,북구,경남은행,명촌,052-287-4961,울산 북구 명촌로 54,129.356598513704,35.5554468644702,정좌표
110,110,부산,기장군,경남은행,정관,051-727-8811,"부산 기장군 정관면 정관로 601, 1층 경남은행 정관지점",129.17963914512,35.320440075991,정좌표
111,111,경남,창원시,경남은행,창원공단,055-274-4921,경남 창원시 성산구 연덕로15번길 16,128.654230447957,35.2076110532603,정좌표
112,112,울산,남구,경남은행,울산대,052-277-4291,"울산 남구 대학로 93, 1층 신학생회관 울산대학교)",129.255735266055,35.5472658037402,정좌표
113,113,울산,울주군,경남은행,구영,052-212-9038,울산 울주군 범서읍 구영로 126,129.242429115179,35.5714754789413,정좌표
114,114,경남,거제시,경남은행,거제기업금융,055-632-4105,"경남 거제시 서문로3길 26, 101호",128.618483811997,34.8905322655086,정좌표
115,115,울산,남구,경남은행,삼산대로,052-256-4706,울산 남구 삼산로 316,129.341409406471,35.5396104477271,정좌표
116,116,경남,함양군,경남은행,함양,055-962-6891,경남 함양군 함양읍 고운로 60,127.728026222565,35.5204107006448,정좌표
117,117,경남,김해시,경남은행,율하,055-314-0156,"경남 김해시 율하1로 106, 104호",128.815045919687,35.1731300519873,정좌표
118,118,경북,구미시,경남은행,구미,054-471-3812,"경북 구미시 인동가산로 14, 201호, 시네마월드",128.418000471576,36.1071228597629,정좌표
119,119,울산,울주군,경남은행,온산,052-238-2126,울산광역시 울주군 온산읍 덕신리 454-1(덕남로 72) 1~2층,129.307483083465,35.4305591178047,정좌표
120,120,경북,포항시,경남은행,포항,054-273-6114,경북 포항시 남구 포스코대로 358,129.361916866868,36.0166168609506,정좌표
121,121,부산,부산진구,경남은행,서면,051-816-4195,"부산 부산진구 중앙대로 709, 1층",129.058810600679,35.1560736588633,정좌표
122,122,경남,진주시,경남은행,초장동,055-752-3626,경남 진주시 초전북로51번길 8,128.112575134184,35.2091456000101,정좌표
123,123,울산,북구,경남은행,상안,052-291-0541,울산 북구 신답로 36,129.344104510612,35.6292769171522,정좌표
124,124,경남,양산시,경남은행,물금,055-366-2061,"경남 양산시 물금읍 서들로 148, 채움상가 115호",129.006687215625,35.3118181357976,정좌표
125,125,경남,산청군,경남은행,산청,055-973-8714,경남 산청군 산청읍 산엔청로 12,127.87488343684,35.414742387583,정좌표
126,126,경남,창원시,경남은행,창원법원,055-262-5630,"경남 창원시 성산구 창이대로 681, 경남은행창원법원지점",128.700892403301,35.2242004491439,정좌표
127,127,부산,사하구,경남은행,하단,051-205-2703,"부산 사하구 낙동남로 1409,  정우, MTOWER",128.965801434647,35.1065771202069,정좌표
128,128,경남,양산시,경남은행,양산기업금융,055-367-7646,경남 양산시 양산대로 998,129.040633727407,35.3593467273239,정좌표
129,129,경남,김해시,경남은행,김해삼계,055-312-4351,경남 김해시 가야로30번길 1,128.864043105581,35.2696740195006,정좌표
130,130,경남,김해시,경남은행,진례기업금융,055-345-6913,"경남 김해시 진례면 서부로 913, 1층",128.76961031762,35.2277921212995,정좌표
131,131,경남,하동군,경남은행,하동,055-883-8535,경남 하동군 하동읍 중앙로 15,127.750847165664,35.0701547389272,정좌표
132,132,경남,김해시,경남은행,김해시청,055-325-1768,"경남 김해시 김해대로 2401, 1층, 김해시청, 별관",128.889734248934,35.2288662319909,정좌표
133,133,경남,진주시,경남은행,진주시청,055-755-7458,"경남 진주시 동진로 155, 1층",128.107771895489,35.1802929287512,정좌표
134,134,부산,강서구,경남은행,명지,051-271-3894,"부산 강서구 명지오션시티4로 59, 103호",128.903941044221,35.0837732617061,정좌표
135,135,부산,강서구,경남은행,화전공단,051-941-7092,부산 강서구 화전산단6로 163,128.882733216065,35.111643225662,정좌표
136,136,경남,양산시,경남은행,평산,055-367-9804,경남 양산시 평산7길 4,129.15038286373,35.3814926401937,정좌표
137,137,경남,함안군,경남은행,칠원,055-587-9613,"경남 함안군 칠원읍 삼칠로 148, 칠원지점",128.518788027357,35.3094470434961,정좌표
138,138,울산,남구,경남은행,울산법원,052-261-2390,"울산 남구 법대로 55, 1층",129.287073340631,35.5394049135459,정좌표
139,139,경북,경주시,경남은행,외동기업금융,054-777-6106,경북 경주시 외동읍 우박길 57,129.320130115455,35.6783439766461,정좌표
140,140,경남,창원시,경남은행,웅남기업금융,055-289-1043,경남 창원시 성산구 공단로 230,128.64895481712,35.2146410992091,정좌표
141,141,경남,함안군,경남은행,함안공단,055-585-8560,경남 함안군 군북면 함안산단1길 6,128.312062694754,35.2898712446198,정좌표
142,142,경남,통영시,경남은행,죽림,055-642-3191,"경남 통영시 광도면 죽림2로 49-10, 102호",128.418611768673,34.8805320842532,정좌표
143,143,경남,창원시,경남은행,신촌동,055-286-0860,경남 창원시 성산구 신촌로 112,128.628521511356,35.1995131222617,정좌표
144,144,경남,김해시,경남은행,한림기업금융,055-346-7315,경남 김해시 한림면 한림로 4,128.809233064096,35.2938401344303,정좌표
145,145,경남,양산시,경남은행,산막공단,055-367-9267,경남 양산시 산막공단북9길 59,129.063453905849,35.3721062890071,정좌표
146,146,부산,강서구,경남은행,강서,051-832-5014,부산 강서구 범방3로29번길 39,128.879875659982,35.1477075013827,정좌표
147,147,경남,거제시,경남은행,아주동,055-687-9035,경남 거제시 아주1로2길 62,128.685635965505,34.8674526040063,정좌표
148,148,경남,창원시,경남은행,창원대로,055-289-3031,"경남 창원시 의창구 창원대로 390, 104호",128.640247468379,35.2343523577259,정좌표
149,149,경남,김해시,경남은행,주촌공단,055-329-6750,경남 김해시 주촌면 골든루트로 77,128.829739651992,35.2130607358503,정좌표
151,151,경남,창원시,경남은행,진해기업금융,055-542-6980,경남 창원시 진해구 진해대로1114번길 15,128.709397985991,35.1289973966129,정좌표
153,153,경남,진주시,경남은행,정촌공단,055-755-7461,경남 진주시 정촌면 화개천로 126,128.103917234251,35.1281328442294,정좌표
154,154,경남,진주시,경남은행,LH지점,055-761-2311,"경남 진주시 충의로 19, LH공사 케어센터 1층",128.14475823925,35.1790184757915,정좌표
155,155,경남,창원시,경남은행,오동동,055-801-2301,경남 창원시 마산합포구 불종거리로 30,128.576695062736,35.2070721243327,정좌표
156,156,경남,진주시,경남은행,하대동,055-801-7391,경남 진주시 도동로 236,128.122262674216,35.1913384621332,정좌표
157,157,울산,중구,경남은행,성안동,052-704-5391,울산 중구 성안로 184,129.31754764516,35.5766044420968,정좌표
158,158,경남,창원시,경남은행,메트로시티,055-801-2281,"경남 창원시 마산회원구 삼호로 80, 메트로시티 2단지 212동 102호",128.585741521788,35.2251968766894,정좌표
159,159,경남,창원시,경남은행,북면,055-801-1154,경상남도 창원시 의창구 북면 감계로110번길 54-7,128.594055663798,35.3015706315767,정좌표
160,160,경남,창원시,경남은행,자은동,055-547-9187,경상남도 창원시 진해구 냉천로 106 성원상가 2층,128.708331397063,35.1534665973689,정좌표
161,161,경남,진주시,경남은행,진주영업부,055-801-7500,"경남 진주시 충의로 26, 진주혁신도시내 1층",128.148111434478,35.1765187455481,정좌표
162,162,서울,강서구,경남은행,마곡,02-2623-5070,서울특별시 강서구 공항대로 227 204호~207호,126.832685901838,37.5595998885473,정좌표
163,163,경기,성남시,경남은행,위례신도시,031-778-0000,"경기도 성남시 수정구 위례광장로 19 205호, 206호",127.140442828566,37.4656915493762,정좌표
164,164,경기,화성시,경남은행,동탄역,031-778-0020,"경기 화성시 동탄대로 495, 동탄역리치안 205호 206호",127.098240388928,37.1979519887233,정좌표
165,165,경남,창원시,경남은행,진해신항,055-801-2320,"경남 창원시 진해구 신항4로 58, 1층, 오송스퀘어",128.818743755791,35.088398486429,정좌표
166,166,서울,노원구,광주은행,상계동,02-935-7400,"서울특별시 노원구 노해로 459, 메가빌딩 2층",127.058998327216,37.6542598824443,정좌표
167,167,서울,동대문구,광주은행,청량리,02-959-9600,"서울특별시 동대문구 왕산로 32길 7, BYC빌딩 2층",127.041796538785,37.5787305911417,정좌표
168,168,서울,중구,광주은행,서울영업부,02-318-2630,"서울특별시 중구 남대문로 109, 국제빌딩 6층",126.982246709936,37.5669855896734,정좌표
169,169,서울,광진구,광주은행,자양동,02-454-4100,"서울특별시 광진구 자양로 129, Y-타워 3층",127.08292977847,37.539295732424,정좌표
170,170,서울,강동구,광주은행,길동,02-474-0100,"서울특별시 강동구 양재대로 1473, 희헌타워 2층",127.139587493304,37.5375106209582,정좌표
171,171,서울,송파구,광주은행,잠실,02-412-4600,"서울특별시 송파구 올림픽로 119, 파인애플상가 2층",127.084185896818,37.5120837009722,정좌표
172,172,서울,강남구,광주은행,청담,02-518-3456,"서울특별시 강남구 선릉로 704, 청담벤처프라자 2층",127.041389960339,37.5178033101322,정좌표
173,173,서울,강남구,광주은행,삼성동,02-557-5300,"서울특별시 강남구 테헤란로 425, 신일빌딩 3층",127.053383137835,37.5062487959136,정좌표
174,174,서울,강남구,광주은행,강남,02-558-5021,"서울특별시 강남구 테헤란로 234, 삼익라비돌빌딩 1층",127.041889939978,37.5019571297799,정좌표
175,175,서울,강남구,광주은행,대치동,02-564-4433,"서울특별시 강남구 남부순환로 2935, 대치프라자 2층",127.061333160381,37.4939918817673,정좌표
176,176,서울,서초구,광주은행,논현,02-549-8100,"서울특별시 서초구 강남대로 559, 정인빌딩 3층",127.020539060085,37.5117738107045,정좌표
177,177,서울,서초구,광주은행,서초동,02-586-0090,"서울특별시 서초구 서초대로 286, 서초프라자 3층",127.013035582994,37.4931728904684,정좌표
178,178,서울,서초구,광주은행,방배,02-522-5678,"서울특별시 서초구 동작대로 86, 동주빌딩 2층",126.982433799114,37.4842252434966,정좌표
179,179,서울,서초구,광주은행,양재,02-578-1188,"서울특별시 서초구 남부순환로 2583, 서희빌딩 5층",127.032947326977,37.4847906855234,정좌표
180,180,서울,영등포구,광주은행,여의도,02-767-3114,"서울특별시 영등포구 국제금융로 2길 17, 씨티플라자타워 10층",126.926030697451,37.5240636910137,정좌표
181,181,서울,영등포구,광주은행,영등포,02-2068-9800,"서울특별시 영등포구 문래로 180, 센트럴 푸르지오시티 2층",126.901986951224,37.5179672660852,정좌표
182,182,서울,강서구,광주은행,화곡동,02-2065-5400,"서울특별시 강서구 화곡로 142, KS프리미어빌딩 2층",126.837582138676,37.5405673844633,정좌표
183,183,서울,영등포구,광주은행,수도권금융센터,02-783-0090,"서울특별시 영등포구 여의나루로 81, 12층 1호",126.927732641126,37.5243220750341,정좌표
184,184,서울,동대문구,광주은행,신설동,02-953-2100,"서울특별시 동대문구 왕산로 10, 교보재단빌딩 2층",127.024867688625,37.5758943681246,정좌표
185,185,경기,성남시,광주은행,분당금융센터,031-8017-4600,"경기도 성남시 분당구 황새울로 324, 대홍빌딩 3층",127.121523656482,37.3849528334593,정좌표
187,187,경기,수원시,광주은행,수원영통,031-203-9600,"경기도 수원시 영통구 봉영로 1613, 영통하우스토리 상가 2층",127.073929015985,37.2551060558239,정좌표
188,188,경기,고양시,광주은행,일산주엽,031-919-2400,"경기도 고양시 일산서구 강선로 49, 일산비스타 2층",126.763374789229,37.6687567960948,정좌표
189,189,경기,김포시,광주은행,김포,031-996-9500,"경기도 김포시 김포한강4로 119, 승문프라자 3층",126.667761785217,37.6443295034269,정좌표
190,190,경기,안양시,광주은행,안양,031-423-0100,"경기도 안양시 동안구 시민대로 317, 대한스마트빌딩 2층",126.965656132729,37.3962831932177,정좌표
191,191,경기,용인시,광주은행,광교,031-217-0201,"경기도 용인시 수지구 광교중앙로 304, 미주프라자 2층",127.069593026092,37.2971020963339,정좌표
193,193,인천,부평구,광주은행,부평,032-503-4700,"인천광역시 부평구 부평대로 88, 부평대로 우체국 3층",126.722554242565,37.4991569639334,정좌표
194,194,인천,남동구,광주은행,구월동,032-427-4700,"인천광역시 남동구 인하로 497-8, 오아시스빌딩 3층",126.702067714464,37.4435683375433,정좌표
195,195,인천,서구,광주은행,청라,032-568-5678,"인천광역시 서구 중봉대로 594, 비전프라자 2층",126.65027884581,37.5325675241735,정좌표
197,197,전남,강진군,광주은행,강진,061-432-9311,전라남도 강진군 강진읍 보은로2길 35,126.769764209564,34.6397134223334,정좌표
198,198,전남,고흥군,광주은행,고흥,061-834-7501,전라남도 고흥군 고흥읍 고흥로 1762,127.286894351389,34.6073775229532,정좌표
199,199,전남,광양시,광주은행,광양,061-762-5511,전라남도 광양시 광양읍 희양현로 40,127.587217332449,34.9745536467796,정좌표
200,200,전남,나주시,광주은행,나주,061-334-2715,전라남도 나주시 중앙로 34,126.719853338459,35.0323068474706,정좌표
201,201,전남,순천시,광주은행,남순천,061-741-2141,전라남도 순천시 팔마로 212 2층,127.509050825092,34.9405164969027,정좌표
202,202,전남,무안군,광주은행,남악,061-285-3788,"전라남도 무안군 삼향읍 남악4로 40, 110호",126.466381802208,34.8091666183079,정좌표
203,203,전남,담양군,광주은행,담양,061-381-5221,전라남도 담양군 담양읍 중앙로 66,126.982836049925,35.3191496926406,정좌표
204,204,전남,영암군,광주은행,대불산단,061-464-5301,전라남도 영암군 삼호읍 자유무역로 205,126.459966351841,34.7700988997293,정좌표
205,205,전남,광양시,광주은행,동광양금융센터,061-791-7005,전라남도 광양시 중마중앙로 137,127.697770366378,34.9425043707365,정좌표
206,206,전남,목포시,광주은행,목포,061-242-5101,전라남도 목포시 영산로 93,126.38545850189,34.7909004282424,정좌표
207,207,전남,무안군,광주은행,무안(출),061-452-0990,전라남도 무안군 무안읍 무안중앙로 12,126.477812120908,34.9887473122854,정좌표
208,208,전남,보성군,광주은행,보성,061-853-5400,전라남도 보성군 보성읍 동산길 12-2,127.080459395407,34.7692397185861,정좌표
209,209,전남,목포시,광주은행,북항,061-243-0202,전라남도 목포시 고하대로 668,126.371143948591,34.8069903059618,정좌표
210,210,전남,나주시,광주은행,빛가람,061-337-8111,"전라남도 나주시 전력로 2, 2층",126.785385159481,35.0215719459791,정좌표
211,211,전남,순천시,광주은행,순천,061-744-2171,전라남도 순천시 중앙로 72,127.48414103453,34.9520807702026,정좌표
212,212,전남,순천시,광주은행,순천신대,061-727-5570,전라남도 순천시 해룡면 신대리 1988,127.551423211395,34.9332802270588,정좌표
